job,user,project,gpu_num,cpu_num,node_num,submit_time,wait_time,run_time,wall_time,node_hour,new_status
423092084,0.0,40698649559.44441,0,8172,128,1672779851,26,7069.473609390483,10778,221.56428825961103,Pass
969761553,60290619114938.79,60264505333490.07,0,8218,128,1674122896,22095,9262.504854030069,10766,472.19524400523403,Killed
702443298,34633816834079.9,34616417988125.31,0,185,3,1674202907,26,17.59,3612,0.004886111,Pass
597845654,9199850535115.502,9107223106900.367,0,64,1,1672687960,354,202.61998890379294,3588,15.596843485581543,Pass
758978543,59525023557624.41,59926224192903.56,0,17230,285,1674635095,39818,21053.297663237594,21336,1305.5162404873472,Killed
493387127,80397127943641.66,80273718240874.36,0,199,2,1673200236,26,448.91926666466907,920,11.908952070890894,Pass
393507477,0.0,0.0,0,16217,259,1674801807,26,20706.312436494492,21386,1153.0214936509165,Killed
66597095,74922557318905.56,75008884390696.02,0,15874,252,1675115412,3991,1460.0613870347522,6807,250.6309043014948,Pass
188129394,0.0,0.0,0,8213,128,1674802350,255,100.8925942952981,10992,16.093445279576194,Pass
248057517,15734744552.327442,0.0,0,16502,256,1673180641,26,2630.90103435277,15094,0.004886111,Killed
713211851,0.0,45952185463.3088,0,8222,128,1675120021,2118,3765.6321834092428,3653,10.863010928230079,Killed
166592105,64708714185.52164,10765202274.10579,0,8138,128,1673186262,3439,11917.729322406989,10961,216.7804196985773,Pass
622008462,0.0,96445883031.29341,0,94,1,1675028146,455,246.97129335908218,3669,16.067795580661738,Pass
805099256,34718898919811.355,34531012702266.035,0,220,5,1674127449,353,238.08264133820532,86400,19150.61948029941,Killed
102296168,35041839194018.32,35246390591314.086,0,16094,254,1672676997,26,9837.898205978052,10877,313.91622204933,Killed
929216054,8662916212.94819,121969330654.86519,0,16298,257,1675279939,3907,17.59,3587,51.754461486971124,Killed
82836853,35695985454455.195,82579725980186.31,0,490,8,1675073809,26,17.59,1452,13.085693734930286,Pass
