job,user,project,gpu_num,cpu_num,node_num,submit_time,wait_time,run_time,wall_time,node_hour,new_status
423092084,0.0,156847839284.97336,0,8176,128,1672762690,59,8289.992199554767,11006,229.5793654719392,Pass
969761553,60290619114938.79,59962081861675.13,0,8181,127,1674227499,19993,10207.926560004773,10692,496.0692692729358,Killed
702443298,34633816834079.9,34482913846615.04,0,214,3,1673771230,26,17.59,3399,0.004886111,Pass
597845654,9199850535115.502,9620406288767.354,0,166,1,1672904896,922,17.59,3476,0.004886111,Pass
758978543,59525023557624.41,59843470983025.945,0,17347,284,1674792709,33395,21935.201656072943,22144,1200.7851291239642,Killed
493387127,80397127943641.66,80344617445479.14,0,235,2,1672971737,628,420.8128892984561,1468,0.004886111,Pass
393507477,0.0,0.0,0,16084,256,1674445687,26,22242.161854124093,21289,1240.2988069198313,Killed
66597095,74922557318905.56,74258936314667.81,0,15953,252,1675145865,5322,3089.885096724231,5642,228.05931882765736,Pass
188129394,0.0,0.0,0,8132,128,1674540770,26,17.59,10578,27.818781057654615,Pass
248057517,15734744552.327442,55325464731.0715,0,16319,256,1673088754,26,2864.88875035962,16452,0.004886111,Killed
713211851,0.0,81116714367.14757,0,8269,128,1674821570,1961,3514.1593789504523,3697,23.051678504559874,Killed
166592105,64708714185.52164,0.0,0,8140,128,1672851340,3188,8175.675469417476,10650,224.8246851481766,Pass
622008462,0.0,43084174458.799286,0,184,2,1674759343,1176,17.59,3718,13.03055968460824,Pass
805099256,34718898919811.355,34505543716847.65,0,389,4,1673981673,26,810.9024184878394,84792,18906.02258364859,Killed
102296168,35041839194018.32,34960499615007.473,0,16149,254,1672694284,759,11415.285615913463,10603,343.492554147672,Killed
929216054,8662916212.94819,0.0,0,16168,255,1675279939,3754,427.4069105203466,3708,41.91402629124944,Killed
82836853,35695985454455.195,82562473641662.53,0,489,8,1674988898,26,79.27255251231665,1669,21.69470885020236,Pass
224014909,60046765662079.59,60080048851616.375,0,17517,276,1675201672,26,21394.549919367793,21556,1518.6971721190096,Killed
421915150,0.0,0.0,0,8223,128,1672746521,14659,10776.993138125923,10727,26.98365631846023,Pass
559582900,48831837226888.15,90975141871638.2,0,546,8,1674527596,188,2291.0651680138626,3461,10.821289179369149,Pass
728069830,96344515459021.44,89295395850315.53,0,391,7,1675058178,403,519.7341799085663,3650,6.6749140508726,Pass
412638640,0.0,0.0,0,434,5,1672689939,26,427.3636990352809,3634,198.72612769435403,Pass
900314763,62529220758442.23,62580208045471.37,0,16589,257,1672678364,26,718.5234837744829,3342,0.004886111,Killed
872197666,59854872457003.99,59651514105413.11,0,16044,250,1673439779,51627,9232.929691828258,21348,1177.8910019271143,Pass
609954885,33980799427511.508,34269427978912.125,0,221212,3492,1675081598,2288,81094.1738051851,83623,22160.07793817341,Killed
582086798,0.0,31557601594.600754,0,8220,127,1674981908,10796,8510.623653521698,10905,426.5352958286753,Killed
844186092,81068602864706.45,80947126850892.9,0,395,7,1674699950,26,17.59,3435,1.8186787335820487,Pass
526963063,80234371554034.83,80534353979605.0,0,269,3,1674408413,557,133.2621502038973,3750,0.004886111,Pass
930214859,48980768480952.47,49048451998444.695,0,385,7,1675144457,26,283.7652085041285,2266,50.98138210885557,Pass
252532720,34186876341239.508,34366524165597.15,0,97,2,1674045916,26,171.04445533033635,3785,13.780664988708164,Pass
20165831,34433048277760.574,34838876923884.477,0,64,2,1673999321,26,417.57694994689564,3745,2.9092909799876114,Pass
764274145,1046871973.0571079,3544908334.4663296,0,8229,127,1672970251,303,180.18129367775714,10873,16.491315875116953,Pass
931912017,0.0,57859969206.09736,0,8223,128,1674585374,3834,3394.4553259765325,3665,3.3735557890865184,Killed
991942900,0.0,62223270491.35944,0,513,7,1673116440,517,3219.725231596624,3553,5.274683734350002,Pass
288596142,12795031710.018177,67336888827.60721,0,536,7,1673724765,26,649.8027524935644,3776,0.004886111,Pass
785320041,51342578916.34978,95964499490.48605,0,366,5,1673171021,26,593.5094788067635,3547,0.004886111,Pass
404072540,62151281574.11115,26710901888.63823,0,8163,127,1673020140,26,639.6455174235413,3551,0.004886111,Pass
439265587,72065827557740.03,72492345642998.78,0,469,8,1675121599,3525,3824.1200749465556,3407,23.979665605315795,Killed
159616594,79173609952797.27,79958460836636.39,0,33936,263,1673452973,34798,24523.606619729828,22477,1776.1335667586682,Pass
778457168,0.0,0.0,0,8173,128,1672932008,26,32.98340170735662,10696,0.004886111,Pass
817043849,0.0,0.0,0,8194,129,1673150417,1101,17.59,10905,0.004886111,Pass
47372161,0.0,74104824377.64453,0,8098,128,1672690804,1485,17.59,10918,23.53466694711758,Pass
439124392,0.0,0.0,0,459,6,1672867045,1416,1663.4322817731008,3660,0.004886111,Pass
308638894,84382810520.86269,0.0,0,16736,258,1672917773,26,4601.476098637613,3636,0.004886111,Killed
369252963,80336252726433.56,80553575652192.38,0,442,8,1674015362,751,2535.7843440479433,3551,0.004886111,Pass
311400304,0.0,0.0,0,8213,127,1672947515,3973,11341.521343011898,10873,398.0520979575331,Pass
739342486,0.0,0.0,0,8213,128,1674365154,2488,8495.40933124216,10739,352.5002871153926,Killed
288205218,6007929005.924014,118664639759.98785,0,8174,128,1674661412,8202,1548.6405714414009,3550,14.840854704357845,Killed
529746643,139277210177.91193,175132466601.00546,0,329,6,1675266352,398,463.73694393671735,3850,6.216806085147858,Pass
728472369,79714139401944.86,79666943683866.6,0,168,4,1674769031,26,58.45715085531535,3708,0.004886111,Pass
66125399,0.0,0.0,0,8189,128,1672832561,1597,34.239286895495866,10874,4.688048287445945,Pass
717680345,94893337995414.89,90810940582859.19,0,215984,3584,1675148973,370621,4373.694679250154,3686,43.25508710807262,Killed
576657931,34700656986354.125,34917892891903.98,0,16564,3305,1674840261,1457,612.2648977454982,3702,0.004886111,Killed
673225465,59961395663408.35,60240121837279.24,0,597,11,1674506469,462,3727.389966250346,3440,0.004886111,Killed
374332778,93662049623.73949,10001721776.684662,0,8181,128,1673011498,361,161.59739112904103,10827,0.004886111,Pass
296102184,16994923349.089977,0.0,0,8262,128,1672746127,399,17.59,10828,20.60089871278005,Pass
